time,volt
1072070,1927
1072071,1930
1072072,1924
1072073,1934
1072074,1944
1072075,1967
1072076,1979
1072077,2003
1072078,1994
1072079,1986
1072080,1973
1072081,1976
1072082,1969
1072083,1966
1072084,1969
1072085,1970
1072086,1962
1072087,1954
1072088,1963
1072089,1960
1072090,1943
1072091,1919
1072092,1926
1072093,1928
1072094,1939
1072095,1957
1072096,1988
1072097,2024
1072098,2041
1072099,1972
1072100,2045
1072101,2081
1072102,2156
1072103,2277
1072104,2358
1072105,2393
1072106,2393
1072107,2347
1072108,2285
1072109,2201
1072110,2161
1072111,2099
1072112,2022
1072113,1935
1072114,1873
1072115,1812
1072116,1798
1072117,1803
1072118,1771
1072119,1733
1072120,1738
1072121,1684
1072122,1752
1072123,1711
1072124,1784
1072125,1817
1072126,1844
1072127,1832
1072128,1890
1072129,1892
1072130,1916
1072131,1907
1072132,1808
1072133,1844
1072134,1674
1072135,1873
1072136,1786
1072137,1904
1072138,1881
1072139,1830
1072140,1693
1072141,1862
1072142,2000
1072143,2078
1072144,2183
1072145,2018
1072146,2106
1072147,2027
1072148,2115
1072149,1929
1072150,1860
1072151,1815
1072152,1879
1072153,1891
1072154,1748
1072155,1608
1072156,1853
1072157,1939
1072158,1655
1072159,2051
1072160,1904
1072161,1812
1072162,1843
1072163,1748
1072164,1843
1072165,1837
1072166,1957
1072167,1896
1072168,1883
1072169,1892
1072170,1904
1072171,1847
1072172,1857
1072173,1665
1072174,1805
1072175,1955
1072176,1696
1072177,1967
1072178,1781
1072179,1938
1072180,1900
1072181,2082
1072182,2126
1072183,1916
1072184,1950
1072185,2044
1072186,2267
1072187,2040
1072188,2127
1072189,2175
1072190,2150
1072191,2052
1072192,2009
1072193,2131
1072194,2145
1072195,2191
1072196,2191
1072197,2231
1072198,2137
1072199,2098
1072200,1983
1072201,1953
1072202,1956
1072203,1918
1072204,1949
1072205,1949
1072206,2084
1072207,2119
1072208,2092
1072209,2098
1072210,2023
1072211,2130
1072212,2095
1072213,2124
1072214,2086
1072215,2123
1072216,2099
1072217,2154
1072218,2169
1072219,2145
1072220,2180
1072221,2090
1072222,1982
1072223,1900
1072224,1903
1072225,1829
1072226,1900
1072227,1919
1072228,1777
1072229,1859
1072230,1756
1072231,1933
1072232,1885
1072233,2003
1072234,1970
1072235,1969
1072236,1940
1072237,1854
1072238,1798
1072239,1698
1072240,1829
1072241,1990
1072242,2134
1072243,2115
1072244,2087
1072245,2129
1072246,2166
1072247,2176
1072248,2150
1072249,2121
1072250,2063
1072251,2007
1072252,2010
1072253,2043
1072254,2045
1072255,1994
1072256,2017
1072257,2025
1072258,2038
1072259,1961
1072260,1996
1072261,1947
1072262,2017
1072263,2120
1072264,2175
1072265,2211
1072266,2245
1072267,2336
1072268,2362
1072269,2367
1072270,2380
1072271,2317
1072272,2376
1072273,2402
1072274,2403
1072275,2444
1072276,2335
1072277,2353
1072278,2215
1072279,1948
1072280,2068
1072281,1946
1072282,1823
1072283,1915
1072284,1729
1072285,1764
1072286,1434
1072287,1471
1072288,1304
1072289,1155
1072290,1219
1072291,1162
1072292,1475
1072293,1511
1072294,1345
1072295,1312
1072296,1640
1072297,1458
1072298,1740
1072299,1466
1072300,1291
1072301,1634
1072302,1308
1072303,1880
1072304,1445
1072305,2100
1072306,1480
1072307,1827
1072308,2319
1072309,2116
1072310,2401
1072311,1351
1072312,1748
1072313,585
1072314,816
1072315,2
1072316,0
1072317,0
1072318,0
1072319,0
1072320,0
1072321,1
1072322,0
1072323,0
1072324,0
1072325,0
1072326,0
1072327,2066
1072328,3299
1072329,3913
1072330,3913
1072331,3913
1072332,3911
1072333,3913
1072334,3916
1072335,3918
1072336,3919
1072337,3922
1072338,3924
1072339,3922
1072340,3922
1072341,3923
1072342,3927
1072343,3923
1072344,3923
1072345,3923
1072346,3923
1072347,3920
1072348,3918
1072349,3426
1072350,2409
1072351,1946
1072352,1744
1072353,1659
1072354,1615
1072355,1581
1072356,1563
1072357,1560
1072358,1481
1072359,1459
1072360,1472
1072361,1569
1072362,1547
1072363,1473
1072364,1353
1072365,1381
1072366,1377
1072367,1301
1072368,1152
1072369,1104
1072370,1116
1072371,1174
1072372,1307
1072373,1344
1072374,1444
1072375,1497
1072376,1559
1072377,1617
1072378,1685
1072379,1728
1072380,1764
1072381,1896
1072382,1881
1072383,1870
1072384,2009
1072385,1952
1072386,1913
1072387,1911
1072388,1902
1072389,1914
1072390,1889
1072391,1947
1072392,2002
1072393,2036
1072394,2063
1072395,2093
1072396,2097
1072397,2102
1072398,2118
1072399,2135
1072400,2152
1072401,2169
1072402,2183
1072403,2180
1072404,2146
1072405,2112
1072406,2047
1072407,1989
1072408,1918
1072409,1864
1072410,1797
1072411,1744
1072412,1715
1072413,1709
1072414,1656
1072415,1579
1072416,1494
1072417,1443
1072418,1418
1072419,1385
1072420,1347
1072421,1347
1072422,1351
1072423,1363
1072424,1388
1072425,1458
1072426,1496
1072427,1545
1072428,1587
1072429,1661
1072430,1739
1072431,1820
1072432,1909
1072433,2020
1072434,2075
1072435,2110
1072436,2154
1072437,2179
1072438,2196
1072439,2213
1072440,2238
1072441,2232
1072442,2225
1072443,2281
1072444,2314
1072445,2288
1072446,2249
1072447,2214
1072448,2168
1072449,2125
1072450,2104
1072451,2107
1072452,2083
1072453,2073
1072454,2080
1072455,2063
1072456,2033
1072457,2019
1072458,2027
1072459,2052
1072460,2071
1072461,2078
1072462,2079
1072463,2114
1072464,2136
1072465,2159
1072466,2182
1072467,2206
1072468,2231
1072469,2255
1072470,2286
1072471,2321
1072472,2351
1072473,2388
1072474,2415
1072475,2420
1072476,2380
1072477,2339
1072478,2285
1072479,2241
1072480,2191
1072481,2160
1072482,2123
1072483,2067
1072484,1998
1072485,1906
1072486,1783
1072487,1680
1072488,1607
1072489,1569
1072490,1526
1072491,1521
1072492,1510
1072493,1498
1072494,1471
1072495,1453
1072496,1434
1072497,1407
1072498,1411
1072499,1400
1072500,1411
1072501,1420
1072502,1424
1072503,1424
1072504,1455
1072505,1488
1072506,1522
1072507,1542
1072508,1578
1072509,1615
1072510,1699
1072511,1773
1072512,1819
1072513,1919
1072514,1960
1072515,1995
1072516,2019
1072517,2033
1072518,2043
1072519,2042
1072520,2026
1072521,2027
1072522,2038
1072523,2030
1072524,2020
1072525,1982
1072526,1947
1072527,1937
1072528,1952
1072529,1986
1072530,2045
1072531,2094
1072532,2156
1072533,2174
1072534,2189
1072535,2204
1072536,2243
1072537,2286
1072538,2330
1072539,2371
1072540,2390
1072541,2408
1072542,2420
1072543,2428
1072544,2436
1072545,2427
1072546,2396
1072547,2367
1072548,2361
1072549,2358
1072550,2355
1072551,2361
1072552,2366
1072553,2336
1072554,2290
1072555,2279
1072556,2248
1072557,2223
1072558,2204
1072559,2180
1072560,2186
1072561,2177
1072562,2172
1072563,2156
1072564,2152
1072565,2118
1072566,2093
1072567,2087
1072568,2083
1072569,2100
1072570,2124
1072571,2134
1072572,2144
1072573,2127
1072574,2093
1072575,2058
1072576,2017
1072577,1995
1072578,1953
1072579,1927
1072580,1889
1072581,1851
1072582,1828
1072583,1807
1072584,1767
1072585,1710
1072586,1667
1072587,1641
1072588,1641
1072589,1653
1072590,1671
1072591,1693
1072592,1728
1072593,1749
1072594,1757
1072595,1745
1072596,1746
1072597,1740
1072598,1749
1072599,1745
1072600,1750
1072601,1773
1072602,1775
1072603,1782
1072604,1793
1072605,1805
1072606,1826
1072607,1850
1072608,1921
1072609,1977
1072610,2042
1072611,2105
1072612,2163
1072613,2215
1072614,2236
1072615,2241
1072616,2263
1072617,2281
1072618,2293
1072619,2299
1072620,2308
1072621,2302
1072622,2284
1072623,2284
1072624,2256
1072625,2234
1072626,2225
1072627,2208
1072628,2189
1072629,2226
1072630,2283
1072631,2302
1072632,2273
1072633,2259
1072634,2260
1072635,2239
1072636,2208
1072637,2177
1072638,2139
1072639,2090
1072640,2057
1072641,2031
1072642,2013
1072643,1943
1072644,1901
1072645,1837
1072646,1845
1072647,1812
1072648,1782
1072649,1760
1072650,1781
1072651,1779
1072652,1763
1072653,1760
1072654,1743
1072655,1721
1072656,1700
1072657,1679
1072658,1666
1072659,1653
1072660,1646
1072661,1628
1072662,1606
1072663,1555
1072664,1517
1072665,1509
1072666,1518
1072667,1520
1072668,1554
1072669,1601
1072670,1645
1072671,1705
1072672,1775
1072673,1818
1072674,1842
1072675,1862
1072676,1890
1072677,1932
1072678,1979
1072679,2015
1072680,2052
1072681,2072
1072682,2095
1072683,2100
1072684,2080
1072685,2085
1072686,2091
1072687,2098
1072688,967
1072689,548
1072690,1927
1072691,2416
1072692,1903
1072693,1375
1072694,2181
1072695,2135
1072696,1545
1072697,2151
1072698,1833
1072699,1721
1072700,2077
1072701,1909
1072702,1827
1072703,2100
1072704,1762
1072705,1978
1072706,1948
1072707,1835
1072708,2055
1072709,1923
1072710,1981
1072711,2058
1072712,1963
1072713,2026
1072714,2004
1072715,1946
1072716,2008
1072717,1944
1072718,1966
1072719,1971
1072720,1940
1072721,1987
1072722,1950
1072723,1929
1072724,1936
1072725,1896
1072726,1915
1072727,1923
1072728,1941
1072729,1976
1072730,1966
1072731,2011
1072732,2013
1072733,2013
1072734,1939
1072735,1953
1072736,1996
1072737,1926
1072738,1971
1072739,2004
1072740,1946
1072741,1994
1072742,1950
1072743,1937
1072744,1936
1072745,1891
1072746,1906
1072747,1927
1072748,1946
1072749,1951
1072750,1927
1072751,1888
1072752,1853
1072753,1793
1072754,1763
1072755,1737
1072756,1732
1072757,1732
1072758,1746
1072759,1757
1072760,1762
1072761,1780
1072762,1793
1072763,1815
1072764,1805
1072765,1805
1072766,1820
1072767,1823
1072768,1849
1072769,1879
1072770,1912
1072771,1926
1072772,1928
1072773,1929
1072774,1936
1072775,1870
1072776,1774
1072777,1813
1072778,1871
1072779,1927
1072780,1926
1072781,1948
1072782,1928
1072783,1933
1072784,1915
1072785,1966
1072786,1989
1072787,2057
1072788,2107
1072789,2168
1072790,2201
1072791,2227
1072792,2224
1072793,2192
1072794,2151
1072795,2113
1072796,2090
1072797,2048
1072798,2019
1072799,1971
1072800,1937
1072801,1874
1072802,1833
1072803,1778
1072804,1724
1072805,1676
1072806,1659
1072807,1660
1072808,1670
1072809,1681
1072810,1673
1072811,1701
1072812,1720
1072813,1722
1072814,1718
1072815,1722
1072816,1719
1072817,1744
1072818,1772
1072819,1800
1072820,1821
1072821,1829
1072822,1831
1072823,1828
1072824,1836
1072825,1844
1072826,1882
1072827,1916
1072828,1946
1072829,1979
1072830,2000
1072831,1990
1072832,1951
1072833,1935
1072834,1922
1072835,1912
1072836,1912
1072837,1927
1072838,1932
1072839,1927
1072840,1907
1072841,1888
1072842,1855
1072843,1835
1072844,1839
1072845,1862
1072846,1882
1072847,1914
1072848,1983
1072849,2123
1072850,2245
1072851,2283
1072852,2283
1072853,2237
1072854,2245
1072855,2253
1072856,2229
1072857,2168
1072858,2124
1072859,2112
1072860,2097
1072861,2024
1072862,1940
1072863,1857
1072864,1792
1072865,1720
1072866,1684
1072867,1690
1072868,1683
1072869,1683
1072870,1695
1072871,1696
1072872,1694
1072873,1710
1072874,1740
1072875,1778
1072876,1820
1072877,1850
1072878,1887
1072879,1932
1072880,1971
1072881,2004
1072882,2021
1072883,2030
1072884,2042
1072885,2087
1072886,2135
1072887,2187
1072888,2211
1072889,2243
1072890,2282
1072891,2273
1072892,2258
1072893,2256
1072894,2221
1072895,2181
1072896,2139
1072897,2113
1072898,2069
1072899,2024
1072900,1985
1072901,1946
1072902,1876
1072903,1809
1072904,1762
1072905,1739
1072906,1710
1072907,1699
1072908,1700
1072909,1706
1072910,1695
1072911,1669
1072912,1652
1072913,1630
1072914,1626
1072915,1608
1072916,1626
1072917,1640
1072918,1668
1072919,1709
1072920,1757
1072921,1813
1072922,1847
1072923,1871
1072924,1926
1072925,1973
1072926,2023
1072927,2058
1072928,2096
1072929,2144
1072930,2194
1072931,2236
1072932,2229
1072933,2208
1072934,2197
1072935,2185
1072936,2173
1072937,2139
1072938,2151
1072939,2162
1072940,2151
1072941,2124
1072942,2090
1072943,2054
1072944,2056
1072945,2073
1072946,2115
1072947,2150
1072948,2182
1072949,2218
1072950,2237
1072951,2240
1072952,2246
1072953,2269
1072954,2296
1072955,2321
1072956,2333
1072957,2354
1072958,2395
1072959,2403
1072960,2383
1072961,2365
1072962,2340
1072963,2332
1072964,2331
1072965,2333
1072966,2337
1072967,2329
1072968,2337
1072969,2337
1072970,2316
1072971,2268
1072972,2230
1072973,2192
1072974,2173
1072975,2142
1072976,2128
1072977,2103
1072978,2093
1072979,2075
1072980,2067
1072981,2019
1072982,1993
1072983,1979
1072984,1989
1072985,2003
1072986,2025
1072987,2053
1072988,2088
1072989,2105
1072990,2115
1072991,2117
1072992,2088
1072993,2072
1072994,2094
1072995,2106
1072996,2106
1072997,2093
1072998,2090
1072999,2073
1073000,2050
1073001,2007
1073002,1979
1073003,1954
1073004,1947
1073005,1948
1073006,1968
1073007,1970
1073008,1975
1073009,1970
1073010,1954
1073011,1932
1073012,1899
1073013,1892
1073014,1873
1073015,1861
1073016,1852
1073017,1855
1073018,1860
1073019,1846
1073020,1834
1073021,1825
1073022,1809
1073023,1798
1073024,1814
1073025,1838
1073026,1864
1073027,1896
1073028,1925
1073029,1938
1073030,1926
1073031,1952
1073032,1961
1073033,1953
1073034,1948
1073035,1955
1073036,1956
1073037,1947
1073038,1954
1073039,1946
1073040,1938
1073041,1917
1073042,1903
1073043,1912
1073044,1939
1073045,1983
1073046,2020
1073047,2071
1073048,2109
1073049,2127
1073050,2138
1073051,2142
1073052,2154
1073053,2165
1073054,2188
1073055,2217
1073056,2227
1073057,2236
1073058,2249
1073059,2250
1073060,2236
1073061,2203
1073062,2202
1073063,2194
1073064,2198
1073065,2224
1073066,2228
1073067,2233
1073068,2240
1073069,2218
1073070,2178
1073071,2114
1073072,2070
1073073,2036
1073074,2011
1073075,1979
1073076,1941
1073077,1921
1073078,1892
1073079,1864
1073080,1828
1073081,1801
1073082,1781
1073083,1777
1073084,1776
1073085,1803
1073086,1818
1073087,1830
1073088,1845
1073089,1832
1073090,1805
1073091,1775
1073092,1751
1073093,1727
1073094,1703
1073095,1686
1073096,1663
1073097,1639
1073098,1613
1073099,1596
1073100,1572
1073101,1548
1073102,1528
1073103,1530
1073104,1598
1073105,1653
1073106,1693
1073107,1725
1073108,1753
1073109,1763
1073110,1783
1073111,1829
1073112,1860
1073113,1897
1073114,1959
1073115,2026
1073116,2081
1073117,2133
1073118,2179
1073119,2202
1073120,2215
1073121,2224
1073122,2247
1073123,2278
1073124,2311
1073125,2354
1073126,2393
1073127,2404
1073128,2392
1073129,2346
1073130,2300
1073131,2260
1073132,2205
1073133,2159
1073134,2116
1073135,2057
1073136,2004
1073137,1960
1073138,1904
1073139,1827
1073140,1768
1073141,1756
1073142,1723
1073143,1718
1073144,1738
1073145,1767
1073146,1779
1073147,1795
1073148,1801
1073149,1786
1073150,1774
1073151,1783
1073152,1816
1073153,1832
1073154,1860
1073155,1889
1073156,1927
1073157,1971
1073158,2017
1073159,2038
1073160,2036
1073161,2032
1073162,2018
1073163,2039
1073164,2075
1073165,2088
1073166,2135
1073167,2136
1073168,2120
1073169,2100
1073170,2062
1073171,2060
1073172,2043
1073173,2041
1073174,2000
1073175,1975
1073176,1902
1073177,1883
1073178,1867
1073179,1828
1073180,1770
1073181,1762
1073182,1754
1073183,1745
1073184,1749
1073185,1754
1073186,1757
1073187,1758
1073188,1756
1073189,1745
1073190,1745
1073191,1738
1073192,1751
1073193,1775
1073194,1814
1073195,1829
1073196,1851
1073197,1855
1073198,1859
1073199,1859
1073200,1873
1073201,1879
1073202,1919
1073203,1997
1073204,2049
1073205,2079
1073206,2110
1073207,2123
1073208,2127
1073209,2111
1073210,2099
1073211,2044
1073212,1
1073213,1174
1073214,2434
1073215,2810
1073216,1883
1073217,1002
1073218,2495
1073219,1765
1073220,1672
1073221,2464
1073222,1735
1073223,1825
1073224,2149
1073225,1779
1073226,2221
1073227,2020
1073228,1920
1073229,2144
1073230,1845
1073231,2006
1073232,2005
1073233,1877
1073234,2045
1073235,1924
1073236,1946
1073237,1998
1073238,1892
1073239,1949
1073240,1916
1073241,1864
1073242,1975
1073243,1918
1073244,1952
1073245,1997
1073246,1960
1073247,2035
1073248,1975
1073249,1975
1073250,1972
1073251,1958
1073252,1994
1073253,1979
1073254,1962
1073255,1976
1073256,1955
1073257,1963
1073258,1938
1073259,1915
1073260,1902
1073261,1911
1073262,1911
1073263,1932
1073264,1967
1073265,1987
1073266,1997
1073267,1984
1073268,1991
1073269,2011
1073270,1973
1073271,1966
1073272,1978
1073273,1946
1073274,1955
1073275,1962
1073276,1929
1073277,1985
1073278,1952
1073279,1889
1073280,1869
1073281,1797
1073282,1731
1073283,1672
1073284,1669
1073285,1673
1073286,1667
1073287,1631
1073288,1656
1073289,1684
1073290,1723
1073291,1746
1073292,1794
1073293,1821
1073294,1819
1073295,1790
1073296,1811
1073297,1810
1073298,1828
1073299,1790
1073300,1759
1073301,1732
